,,,Period,,Highest Temperature °C,,,,Lowest Temperature °C,,,,Rainfall mm,,,,Rainfall occurences,,Maximum Wind km/h,,,
ID,month,month_day,period_start,period_end,highest_temperature_value,highest_temperature_year,highest_temperature_location_ar,highest_temperature_location_en,lowest_temperature_value,lowest_temperature_year,lowest_temperature_location_ar,lowest_temperature_location_en,highest_rainfall_value,highest_rainfall_year,highest_rainfall_location_ar,highest_rainfall_location_en,rainfall_occurence_value,rainfall_period_years,maximum_wind_value,maximum_wind_year,maximum_wind_location_ar,maximum_wind_location_en
248,September,4,2003,2025,51.1,2016,مخيرز, Mukhariz ,17.9,2015,جبل جيس,Jabal Jais ,7.6,2006,خطم الشكلة,Khatam Al Shaklah,8,23,85,2021,مطار العين,Al Ain Airport
249,September,5,2003,2025,49.4,2016,مخيرز, Mukhariz ,18,2015,جبل مبرح,Jabal Mebreh ,80.4,2006,جبل حفيت,Jabel Hafeet ,9,23,98,2006,مطار العين,Al Ain Airport
250,September,6,2003,2025,49.1,2019,سويحان,Sweihan,18.5,2006,جبل جيس,Jabal Jais ,20.2,2015,خطم الشكلة,Khatam Al Shaklah,13,23,87,2016,مطار العين,Al Ain Airport
251,September,7,2003,2025,49.4,2019,سويحان,Sweihan,18.5,2015,جبل جيس, Jabal Jais ,21,2016,خطم الشكلة,Khatam Al Shaklah,12,23,72,2004,الحبن,Al Heben 
252,September,8,2003,2025,50.1,2017,براكة, Barakah ,16.5,2015,جبل جيس, Jabal Jais ,27,2017,وادي الطوى,Wadi Tuwa ,8,23,79,2024,الشويب,Al Shiweb 
253,September,9,2003,2025,49.4,2017,براكة, Barakah ,18.2,2007,جبل مبرح,Jabal Mebreh ,38.4,2015,حتا,Hatta ,9,23,80,2013,مطار دبي ,Dubai Int'l Airport
254,September,10,2003,2025,47.4,2017,براكة, Barakah ,20.2,2024,ركنة, Raknah ,10.5,2015,عرجان_منطقة الظفرة,Arjan_Al Dhafra_Region,8,23,72,2011,الفقع,Al Faqa
255,September,11,2003,2025,48.1,2020,الحفار, Al Haffar ,20.9,2006-2007,"ركنة، جبل جيس","Raknah, Jabel Jais",76.8,2014,خطم الشكلة,Khatam Al Shaklah,9,23,89,2009,مطار العين,Al Ain Airport
256,September,12,2003,2025,47.8,2020,سيح السلم, Saih Al Salem ,19.6,2015,جبل جيس,Jabal Jais ,10.6,2007,جبل حفيت,Jabel Hafeet ,8,23,63,2015,مطار العين,Al Ain Airport
257,September,13,2003,2025,47.6,2021,الطويين, Tawiyen,18.9,2025,جبل مبرح,Jabal Mebreh ,22,2004,ركنة,Raknah ,6,23,62,2004,الحبن,Al Heben
258,September,14,2003,2025,49.1,2018,مزيرعة,Mezaira ,18,2025,جبل مبرح,Jabal Mebreh ,2.4,2021,المدام,Al Madam,7,23,57,2011,مطار دبي ,Dubai Int'l Airport
259,September,15,2003,2025,47.1,2018,مدينة زايد, Madinat Zayed ,18.8,2020,ركنة, Raknah ,40.8,2013,الشويب,Al Shiweb,5,23,74,2013,مطار العين,Al Ain Airport
260,September,16,2003,2025,47.3,2018,مدينة زايد,Madinat Zayed ,18,2009,جبل جيس, Jabal Jais ,1.4,2013,خطم الشكلة,Khatam Al Shaklah,8,23,68,2015,جبل حفيت,Jabel Hafeet
261,September,17,2003,2025,46.3,2021,سويحان,Sweihan,18.5,2005,ركنة, Raknah ,7.2,2017,الشويب,Al Shiweb,9,23,75,2017,الشويب,Al Shiweb
262,September,18,2003,2025,47.9,2019,سويحان,Sweihan,17.5,2008,جبل مبرح,Jabal Mebreh ,18.6,2023,الشويب,Al Shiweb,6,23,92,2023,الصاع,Saa
263,September,19,2003,2025,46.5,2019,سيح السلم, Saih Al Salem ,17.8,2020,دمثة,Damtha ,15.8,2013,المنامة,Manama ,10,23,67,2011,مطار دبي ,Dubai Int'l Airport
264,September,20,2003,2025,46.6,2015,سويحان,Sweihan,18.9,2020,دمثة,Damtha ,12,2022,شوكة,Shoukah,11,23,59,2005,مطار دبي ,Dubai Int'l Airport
265,September,21,2003,2025,48.9,2012,الرويس,Al-Ruwais ,17.5,2020,دمثة,Damtha ,9.3,2022,المدام,Al Madam,4,23,65,2012,مطار دبي ,Dubai Int'l Airport
266,September,22,2003,2025,47.2,2020,سويحان,Sweihan,16.7,2020,ركنة, Raknah ,6.2,2022,شوكة,Shoukah,3,23,107,2004,مطار العين,Al Ain Airport
267,September,23,2003,2025,46.6,2023,سيح السلم, Saih Al Salem ,16.6,2020,دمثة,Damtha ,4.8,2004,خطم الشكلة,Khatam Al Shaklah,5,23,67,2004,مطار العين,Al Ain Airport
268,September,24,2003,2025,46.1,2019,سويحان,Sweihan,18.4,2008,ركنة, Raknah ,39.3,2021,مرغم,Margham,4,23,71,2021,مرغم,Margham 
269,September,25,2003,2025,45.5,2024,سويحان,Sweihan,17,2007,ركنة, Raknah ,5.5,2004,مسافي,Masafi ,3,23,60,2018,جبل حفيت,Jabel Hafeet
270,September,26,2003,2025,45.3,2024,سويحان,Sweihan,17.6,2007,ركنة, Raknah ,1.8,2019,القوع,Al Quaa ,4,23,84,2021,قرنين,Qarnen
271,September,27,2003,2025,45.1,2017,مزيرعة, Mezaira ,17.8,2014,جبل جيس,Jabal Jais,14.2,2019,القوع,Al Quaa ,5,23,69,2019,أبو قرين,Abu Qrayn
272,September,28,2003,2025,45.2,2018,مزيرعة, Mezaira ,17.6,2014,جبل جيس,Jabal Jais ,12.9,2024,أم غافة,Um Ghafa ,9,23,74,2023,مطار البطين ,Al Bateen Airport
273,September,29,2003,2025,44.7,2011,الرويس,Al-Ruwais ,17,2007,ركنة, Raknah ,23.4,2024,أم القيوين,Umm Al Quwain,13,23,69,2024,أم القيوين,Umm Al Quwain 
274,September,30,2003,2025,45.4,2025,سويحان,Sweihan,16.9,2016,جبل جيس, Jabal Jais ,45.9,2024,أم غافة,Um Ghafa ,11,23,67,2012,مطار دبي ,Dubai Airport
275,October,1,2003,2025,46.3,2017,مزيرعة, Mezaira ,17.6,2016,جبل جيس,Jabal Jais ,17,2024,جبل الرحبة,Jabal Al Rahba,10,23,61,2005,مطار العين,Al Ain Airport 
276,October,2,2003,2025,45,2017-2019,"مزيرعة، بدع دعفس","Mezaira, Bada Dafas ",16.9,2020,ركنة,Raknah,2.7,2014,العرجان,Arjan,4,23,57,2025,تل السراب,Tal Al Sarab
277,October,3,2003,2025,44.1,2019-2019,"حرس حدود الجزيرة، الحفار"," Al Jazeera B.G, Al Haffar ",15.3,2020,ركنة,Raknah ,30,2016,الشويب,Al Shiweb,5,23,73,2021,جبل حفيت,Jabal Hafeet
278,October,4,2003,2025,46.0,2023,سويحان, Sweihan,16.7,2012,جبل جيس, Jabal Jais ,57.6,2016,الفقع,Al Faqa ,7,23,96,2019,مطار الفجيرة,Fujairah Airport 
279,October,5,2003,2025,45.4,2023,الروضة,Rowdah,14,2019,جبل جيس,Jabal Jais ,53.4,2019,ميناء الفجيرة,Fujairah Port,9,23,80,2019,دبا,Dibba 
280,October,6,2003,2025,44.8,2015,سويحان, Sweihan,12.8,2007,جبل جيس,Jabal Jais ,18.6,2016-2019,"الحبن، المليحة","Al Heben, Malaiha ",8,23,80,2019,مطار رأس الخيمة,Ras Al Khaimah Airport 
281,October,7,2003,2025,44.8,2015-2023,"مخيرز، سيح السلم"," Mukhariz, Saih Al Salem ",15.8,2019,جبل جيس,Jabal Jais ,71.8,2016,الفقع,Al Faqa,7,23,66,2023,قرنين,Qarnen
282,October,8,2003,2025,45.5,2023,سويحان, Sweihan,14.8,2007,ركنة,Raknah ,94,2016,الشويب,Al Shiweb ,7,23,72,2016,مطار العين,Al Ain Airport 
283,October,9,2003,2025,44.4,2018,مزيرعة, Mezaira ,16.4,2014,جبل جيس,Jabal Jais ,5.2,2013,أم غافة,Um Ghafa ,7,23,60,2014,جبل مبرح,Jabal Mebreh 
284,October,10,2003,2025,43.8,2010,سويحان, Sweihan,16,2011,جبل جيس, Jabel Jais,63.4,2019,الفقع,Al Faqa ,8,23,72,2007,مطار دبي,Dubai Airport 
285,October,11,2003,2025,43.7,2023,سويحان, Sweihan,15.2,2011,جبل جيس,Jabal Jais ,5,2019,أم غافة,Um Ghafa,7,23,71,2020,الشويب,Al Shiweb 
286,October,12,2003,2025,44.4,2023,سويحان, Sweihan,15.3,2016,ركنة,Raknah ,22.2,2011,فلج المعلا,Falaj Al Moalla ,7,23,74,2011,مطار رأس الخيمة,Ras Al Khaimah Airport 
287,October,13,2003,2025,43.5,2023,سويحان, Sweihan,15.3,2007,ركنة,Raknah ,30.6,2019,فلج المعلا,Falaj Al Moalla ,10,23,69,2013,فلج المعلا,Falaj Al Moalla 
288,October,14,2003,2025,43.1,2023,الذيد,Al Dhaid,14.3,2010,جبل جيس, Jabel Jais,10.6,2013,وادي الطوى,Wadi Tuwa ,7,23,56,2005,مطار دبي,Dubai Airport 
289,October,15,2003,2025,43,2021,سويحان, Sweihan,12.1,2020,ركنة,Raknah ,0.5,2025,الشويب,Al Shiweb,6,23,67,2008,مطار دبي,Dubai Airport 
290,October,16,2003,2025,42.5,2021,سويحان, Sweihan,9.9,2020,ركنة,Raknah ,33.4,2018,القور,Al Qor ,5,23,78,2025,مطار العين,Al Ain Airport 
291,October,17,2003,2025,42.6,2022,سويحان,  Sweihan,7.9,2020,ركنة,Raknah ,14.9,2023,سيح السلم,Saih Al Salem,8,23,56,2009-2010,"مطار دبي، مطار دبي","Dubai Airport, Dubai Airport"
292,October,18,2003,2025,42.3,2011,سويحان, Sweihan,12.5,2020,دمثة,Damtha ,7.8,2012,مطار الفجيرة,Fujairah Airport,6,23,59,2012,مطار دبي,Dubai Airport 
293,October,19,2003,2025,41.6,2017,مزيرعة, Mezaira ,8.7,2020,ركنة, Raknah ,28.8,2024,الشوامخ,Al Shawamekh,8,23,72,2021,قرنين,Qarnen
294,October,20,2003,2025,41.9,2010,سويحان, Sweihan,6.4,2020,ركنة,Raknah ,46.2,2018,مسافي,Masafi ,8,23,56,2005,مطار دبي,Dubai Airport 
295,October,21,2003,2025,41.3,2014,سويحان, Sweihan,8,2020,ركنة,Raknah ,42.2,2024,وادي الطوى,Wadi Tuwa ,8,23,73,2021,قرنين,Qarnen
296,October,22,2003,2025,40.8,2022,سويحان, Sweihan,9.3,2020,دمثة, Damtha ,8,2018,أبو البخوش,Abu Al Bukhoosh ,9,23,71,2018,مكاسب,Makassib 
297,October,23,2003,2025,42,2024,الظنة,Al Dhanna,13.4,2020,ركنة,Raknah ,7,2023,الحبن,Al Heben,6,23,67,2019,مطار آل مكتوم,Al Maktoum Airport 
298,October,24,2003,2025,42.4,2024, الظنة,Al Dhanna,9.4,2020,ركنة,Raknah ,25.8,2023,المليحة,Al Malaiha,7,23,61,2010,مطار دبي,Dubai Airport 
299,October,25,2003,2025,40.5,2019-2019,"جسيورة، سويحان"," Gasyoura, Sweihan",11,2020,ركنة,Raknah,34.8,2023,الحبن,Al Heben,9,23,83,2023,مطار رأس الخيمة,Ras Al Khaimah Airport 
300,October,26,2003,2025,40.2,2017-2019-2019,"سويحان، حميم، سويحان","Sweihan, Hamim, Sweihan",12.7,2023,جبل جيس, Jabal Jais ,48.7,2023,الشوامخ,Al Shawamekh,10,23,83,2023,قرنين,Qarnen 
301,October,27,2003,2025,41.9,2012,الرويس,Al-Ruwais ,11.8,2020,ركنة,Raknah ,27.4,2015,الشويب,Al Shiweb ,9,23,71,2018,مكاسب,Makassib 
302,October,28,2003,2025,40.8,2012,الرويس,Al-Ruwais ,11.1,2020,ركنة,Raknah ,102.8,2018,ميناء الفجيرة,Al Fujairah Port,8,23,72,2024,قرنين,Qarnen 
303,October,29,2003,2025,41.3,2019,وتييد,Owtaid,8.4,2020,ركنة,Raknah ,14,2012,جبل جيس,Jais Mountain,6,23,117,2012,قرنين,Qarnen 
304,October,30,2003,2025,40.2,2019-2019,"الشوامخ، مزيرعة"," Al Shawamekh, Mezaira  ",8.4,2020,ركنة,Raknah ,4,2018,ميناء صقر,Saqr Port,5,23,56,2010-2014-2018,"مطار دبي، مطار الشارقة، مطار دبي","Dubai Airport, Sharjah Airport, Dubai Airport"
305,October,31,2003,2025,43.5,2019,وتييد,Owtaid,7.6,2020,ركنة, Raknah ,5.5,2023,مزيد,Mezyed,7,23,67,2011,مطار دبي ,Dubai Airport 
306,November,1,2003,2025,39.9,2021,سويحان,Sweihan,11.8,2012,جبل جيس, Jabal Jais ,42.4,2014,مسافي,Masafi ,6,23,70,2014,مطار آل مكتوم,Al Maktoum Airport 
307,November,2,2003,2025,39.5,2021,الذيد,Al Dhaid,12.5,2019,جبل جيس, Jabal Jais ,3.6,2011,القوع,Al Quaa ,4,23,59,2018,مطار دبي,Dubai  Airport 
308,November,3,2003,2025,38.8,2009,حرس حدود الجزيرة,Al Jazeera B.G. ,11.4,2018,جبل جيس,Jabal Jais ,4.6,2007,مزيرعة,Mezaira ,6,23,59,2018,الحبن,Al Heben 
309,November,4,2003,2025,39.9,2024,سويحان,Sweihan,11.7,2018,جبل جيس,Jabal Jais ,11.6,2013,حتا,Hatta ,4,23,63,2013,ميناء صقر,Saqr Port 
310,November,5,2003,2025,39.4,2024,سويحان,Sweihan,11.9,2013,جبل جيس,Jabal Jais ,56.3,2023,ميناء الفجيرة,Fujairah Port,6,23,52,2010,مطار دبي,Dubai Airport 
311,November,6,2003,2025,40.1,2024,سويحان,Sweihan,10.8,2014,جبل مبرح,Jabal Mebreh ,12,2006-2023,"حتا، دمثة","Hatta, Damtha",8,23,63,2023,دمثة,Damtha
312,November,7,2003,2025,38.5,2024,سويحان,Sweihan,9.9,2013-2014,"جبل جيس، جبل جيس","Jabal Jais, Jabal Jais ",40.6,2011,دلما,Dalma ,7,23,67,2010,أبو البخوش,Abu Al Bukhoosh 
313,November,8,2003,2025,38.4,2022,الظنة,Al Dhanna ,8.9,2014,جبل جيس, Jabal Jais ,49.7,2020,دبا,Dibba,8,23,70,2021,مطار الفجيرة,Fujairah Airport 
314,November,9,2003,2025,39.3,2022,الظنة,Al Dhanna ,6.9,2014,جبل جيس,Jabal Jais,57.6,2010,مسافي,Masafi ,9,23,92,2010,أبو الأبيض,Abu Al Abyad 
315,November,10,2003,2025,39.1,2022,الظنة,Al Dhanna ,7.1,2019,جبل جيس,Jabal Jais ,37.8,2019,خطم الشكلة,Khatam Al Shaklah ,7,23,93,2019,مطار العين,Al Ain Airport 
316,November,11,2003,2025,38.8,2022,سويحان,Sweihan,6.7,2014,ركنة,Raknah ,49.4,2018,راس غناضة,Ras Ghanadah,6,23,94,2018,مطار البطين,Al Bateen Airport 
317,November,12,2003,2025,37.1,2020,براكة,Barakah ,8.7,2014,دمثة,Damtha ,33.2,2015,جبل جيس,Jais Mountain,6,23,67,2017,مطار الفجيرة,Fujairah Airport 
318,November,13,2003,2025,36.4,2020,الرويس,Al-Ruwais ,8.5,2019,جبل جيس,Jabal Jais ,2.6,2019,مكاسب,Makassib ,7,23,64,2017,الفرفار,Al FarFar 
319,November,14,2003,2025,36.6,2012-2018,"الرويس، مزيرعة","Al-Ruwais, Mezaira",8.5,2015,جبل جيس,Jabal Jais ,23.2,2013,مطار الفجيرة,Fujairah Airport ,6,23,80,2004,جزيرة الفزعية,Al Fzaayyah Island
320,November,15,2003,2025,37.5,2018-2018,"الرويس، مزيرعة","A-lRuwais, Mezaira ",8.2,2019,ركنة,Raknah ,22.8,2004,مطار دبي,Dubai Airport ,8,23,89,2004,مطار دبي,Dubai Airport 
321,November,16,2003,2025,36.9,2011,الرويس,Al-Ruwais ,8.5,2004,جبل جيس, Jabal Jais ,73.8,2013,مسافي,Masafi ,9,23,65,2017,مطار الفجيرة,Fujairah Airport 
322,November,17,2003,2025,36.7,2018-2022,"سويحان، سويحان","Sweihan, Sweihan",7.7,2008,جبل جيس,Jabal Jais ,65.8,2023,إكسبو,Expo ,7,23,96,2023,مطار آل مكتوم,Al Maktoum Airport 
323,November,18,2003,2025,36.4,2011,سويحان,Sweihan ,6.7,2013,جبل مبرح, Jabal Mebreh ,7.6,2005,أبو البخوش,Abu Al Bukhoosh,7,23,93,2005,أبو البخوش,Abu Al Bokhoosh 
324,November,19,2003,2025,36.8,2025,الذيد,Al Dhaid,8.5,2010,دمثة,Damtha ,15.1,2019,جزيرة ديينه,Dayyinah Island ,6,23,69,2019,قرنين,Qarnen 
325,November,20,2003,2025,36.5,2025,سويحان,Sweihan,7.8,2025,ركنة,Raknah ,81.6,2013,دلما,Dalma ,9,23,90,2013,دلما,Dalma 
326,November,21,2003,2025,35.7,2004,حرس حدود الجزيرة,Al Jazeera B.G. ,5.6,2019,جبل جيس,Jabal Jais ,125.8,2013,خطم الشكلة,Khatam Al Shaklah ,7,23,97,2013,الرويس,Al-Ruwais 
327,November,22,2003,2025,37.3,2021,سويحان, Sweihan,4.1,2009,جبل جيس, Jabal Jais ,38,2013,ضدنا,Dhudna ,7,23,63,2022,مطار دبي,Dubai Airport 
328,November,23,2003,2025,37.5,2021,سويحان, Sweihan,5.5,2019,جبل جيس,Jabal Jais,19.2,2010,صير أبو نعير,Sir Bu Nair,11,23,65,2012,مطار دبي,Dubai Airport 
329,November,24,2003,2025,36.7,2019,وتييد,Owtaid,6.5,2009-2019,"جبل مبرح، جبل جيس","Mebreh, Jabal Jais ",21.8,2025,مزرعة بن زعل_منطقة الظفرة,Bin Zaal Farm_Al Dhafra_Region,14,23,70,2016,ميناء صقر,Saqr Port 
330,November,25,2003,2025,36.6,2006,القطارة,Al Qatara ,7.1,2017,جبل جيس,Jabal Jais ,41.6,2016,أبو البخوش,Abu Al Bukhoosh ,8,23,71,2018,عجمان,Ajman 
331,November,26,2003,2025,35.3,2024,براكة,Barakah ,6.6,2011,جبل جيس,Jabal Jais ,60.6,2018,الغزلة,Ghazla,8,23,76,2018,ميناء صقر,Saqr Port 
332,November,27,2003,2025,35.8,2024,بدع دعفس, Bada Dafas,7,2006,جبل جيس,Jabal Jais ,9.2,2008,الطويين,Al Tawiyen,6,23,60,2007,أبو البخوش,Abu Al Bukhoosh 
333,November,28,2003,2025,34.8,2023,الغويفات,Algheweifat,6.4,2006,جبل جيس, Jabal Jais ,8.2,2024,جبل مبرح,Mebreh Mountain ,7,23,67,2024,تل السراب ,Tal Al Sarab
334,November,29,2003,2025,34.6,2022,سيح السلم,Saih Al Salem,5.8,2006,جبل جيس,Jabal Jais ,16.6,2021,مربح ,Merbah ,11,23,70,2008,صير أبو نعير,Sir Bu Nair 
335,November,30,2003,2025,34.2,2022,الوثبة,Al Wathbah,6.5,2006,جبل جيس,Jabal Jais ,42.2,2012,مطار دبي,Dubai Aiport,7,23,91,2012,مطار آل مكتوم,Al Maktoum  Airport 
336,December,1,2003,2025,33.8,2022,سويحان, Sweihan,6.5,2009,جبل جيس,Jabal Jais ,14,2006,ضدنا,Dhudna,6,23,70,2006,مطار دبي,Dubai Int'l Airport 
337,December,2,2003,2025,35.5,2016,سويحان, Sweihan,5.5,2006,جبل جيس, Jabal Jais ,131.8,2006,ضدنا,Dhudna ,9,23,72,2006,مطار دبي,Dubai Int'l Airport 
338,December,3,2003,2025,37,2016,سويحان,Sweihan ,3.7,2006,جبل جيس,Jabal Jais ,78.7,2006,مطار الشارقة,Sharjah Airport ,10,23,66,2006,قرنين,Qarnen 
339,December,4,2003,2025,35,2016,سويحان, Sweihan,1.8,2006,جبل جيس,Jabal Jais ,28.4,2008,ضدنا,Dhudna,5,23,59,2006-2017,"قرنين، مطار العين","Qarnen, Al Ain Airport"
340,December,5,2003,2025,35.4,2016,فلج المعلا, Falaj Al Moalla ,2.3,2006,جبل جيس,Jabal Jais ,2,2008,أبو البخوش,Abu Al Bukhoosh,7,23,70,2019,مطار آل مكتوم,Al Maktoum Int Airport 
341,December,6,2003,2025,33.9,2003,مطار الشارقة, Sharjah  Int'l Airport ,3.8,2017,دمثة, Damtha ,8.6,2008,أبو ظبي,Abu Dhabi ,9,23,67,2009,مطار دبي,Dubai Int'l Airport 
342,December,7,2003,2025,35.5,2010,حرس حدود الجزيرة, Al Jazeera B.G. ,2.2,2017,دمثة, Damtha ,22.6,2008,أبو البخوش,Abu Al Bukhoosh ,8,23,68,2009,أبو البخوش, Abu Al Bokhoosh
343,December,8,2003,2025,33,2014,سويحان, Sweihan,2.6,2015,جبل جيس,Jabal Jais ,104.8,2019,مزيد,Mezyed ,8,23,67,2009,مطار العين,Al Ain Int'l Airport 
344,December,9,2003,2025,32.6,2025,الذيد,Al Dhaid,3.9,2015,جبل جيس,Jabal Jais ,8.4,2004,مسافي,Masafi ,7,23,68,2013,جبل حفيت,Jabal Hafeet
345,December,10,2003,2025,32.1,2025,الشوامخ,Al Shawamekh,4,2016,جبل جيس, Jabal Jais ,34.8,2019,دلما,Dalma ,6,23,87,2019,مكاسب,Makassib
346,December,11,2003,2025,33,2012,الرويس,Al-Ruwais ,1.4,2016,جبل جيس,Jabal Jais,31.1,2019,دبا,Diba ,10,23,70,2019,ميناء صقر,Saqr Port
347,December,12,2003,2025,32.3,2012,أم الزمول,Um Azimul ,2,2016,جبل جيس,Jabal Jais ,40.8,2006,أم الزمول,Um Azimul  ,7,23,69,2009,جبل مبرح,Jabal Mebreh
348,December,13,2003,2025,33.4,2010,الغويفات, Algheweifat ,3.5,2006,جبل جيس, Jabal Jais ,121.2,2009,الفوعة,Alfoah ,8,23,78,2009,مطار العين,Al Ain Int'l Airport
349,December,14,2003,2025,32.8,2013-2013,"سيح السلم، مطار الفجيرة"," Saih Al Salem, Fujairah Airport",2.4,2006,جبل جيس,Jabal Jais ,39.2,2006,الوثبة,Alwathbah ,12,23,65,2010,أبو البخوش,Abu Al Bukhoosh
350,December,15,2003,2025,32.5,2004,مطار رأس الخيمة,Ras Al Khaimah Airport ,2.3,2006,جبل جيس,Jabal Jais ,8.8,2019,مكاسب,Makassib ,13,23,68,2023,الفرفار,Al FarFar 
351,December,16,2003,2025,32,2019,مدينة زايد,Madinat Zayed ,4,2009,جبل جيس,Jabal Jais,33.9,2025,مربح الفجيرة,Merbah Fujairah,6,23,66,2015,جبل مبرح,Jabal Mebreh
352,December,17,2003,2025,31.3,2019,مطار دبي, Dubai Airport ,0.5,2006,جبل جيس,Jabal Jais ,128.8,2017,مطار الفجيرة,Fujairah Port,7,23,69,2025,جبل حفيت,Jabal Hafeet
353,December,18,2003,2025,31.2,2009,حرس حدود الجزيرة, Al Jazeera B.G. ,0.7,2008,ركنة,Raknah ,59.6,2017,ضدنا,Dhudna ,9,23,86,2025,جبل ينس,Jabal Yanas
354,December,19,2003,2025,30.6,2009,أم الزمول, Um Azimul ,2.8,2006,جبل جيس,Jabal Jais ,96.5,2025,الغزلة,Ghazla,9,23,68,2025,جبل ينس,Jabal Yanas
355,December,20,2003,2025,30.7,2021,الشوامخ, Al Shawamekh ,2.7,2008,جبل جيس, Jabal Jais ,28.4,2025,الغزلة,Ghazla,6,23,66,2013,جبل مبرح,Jabal Mebreh
356,December,21,2003,2025,31.6,2021,الظنة, Al Dhanna,3.7,2025,جبل جيس, Jabal Jais ,14.3,2024,ميناء صقر,Saqr Port,6,23,67,2013,أبو البخوش,Abu Al Bukhoosh 
357,December,22,2003,2025,32.2,2012,مزيرعة, Mezaira ,3.7,2013,جبل جيس, Jabal Jais ,8,2013,مطار دبي,Dubai Airport  ,9,23,69,2024,قرنين,Qarnen
358,December,23,2003,2025,34.1,2016,ضدنا, Dhudna ,2.9,2011,دمثة,Damtha ,28.2,2013,مطار الشارقة,Sharjah Airport ,5,23,65,2013-2015-2018,"مطار دبي، مطار دبي، الفرفار","Dubai Airport, Dubai Airport, Al Farfar"
359,December,24,2003,2025,33,2016,سويحان, Sweihan ,2.1,2013,جبل جيس,Jabal Jais ,29.8,2009,الياسات,Yasat ,8,23,62,2006,جزيرة الفزعية,Al Fzaayyah Island
360,December,25,2003,2025,33.8,2012,سويحان, Sweihan ,2.7,2013,جبل جيس, Jabal Jais ,21.8,2022,جبل الرحبة,Jabal Al Rahba,11,23,67,2006-2009,"قرنين، أبو البخوش","Qarnen, Abu Al Bukhoosh"
361,December,26,2003,2025,33.3,2017,جسيورة,Gasyoura ,2.5,2006,جبل جيس,Jabal Jais ,49.8,2015,أبو الأبيض,Abu Al Abyad ,12,23,70,2004,مطار العين,Al Ain Int'l Airport
362,December,27,2003,2025,34.5,2016,سويحان, Sweihan ,2.9,2008,ركنة,Raknah ,79,2004,رزين,Rezeen ,10,23,65,2010,مطار دبي,Dubai Int'l Airport
363,December,28,2003,2025,33.2,2016,القور, Al-Qor,-0.4,2004,جبل جيس,Jabal Jais ,16.8,2022,الحبن,Al Heben,8,23,70,2022,قرنين,Qarnen
364,December,29,2003,2025,35.5,2016,القور, Al-Qor,-0.7,2004,جبل جيس,Jabal Jais ,30.2,2004,مطار الشارقة,Sharjah Airport ,5,23,67,2006,مطار الفجيرة,Fujairah Airport
365,December,30,2003,2025,34.4,2016,القور, Al-Qor,-0.1,2004,جبل جيس, Jabal Jais ,14.4,2005,جبل جيس,Jais Mountain,7,23,84,2025,جبل مبرح,Jabal Mebreh 
366,December,31,2003,2025,31.6,2016,جسيورة, Gasyoura ,0.4,2010,ركنة,Raknah ,31,2021,مطار دبي,Dubai Airport  ,9,23,80,2006,مطار الفجيرة,Fujairah Airport
